primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
In the Republican primary,NA,Donald Trump,Louisiana,Donald Trump,1955,"$100,000 - $119,999",Mitt Romney,61,100000
In the Republican primary,NA,Ted Cruz,Georgia,Donald Trump,1953,"$80,000 - $99,999",Mitt Romney,63,80000
In the Democratic primary,Hillary Clinton,NA,Iowa,Hillary Clinton,1963,"$80,000 - $99,999",Barack Obama,53,80000
"No, not in either",NA,NA,South Dakota,Donald Trump,1972,"$80,000 - $99,999",Other candidate,44,80000
"No, not in either",NA,NA,New York,Donald Trump,1958,"$70,000 - $79,999",Mitt Romney,58,70000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1954,"$120,000 - $149,999",Barack Obama,62,120000
"No, not in either",NA,NA,North Carolina,Donald Trump,1957,"$120,000 - $149,999",Mitt Romney,59,120000
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1926,"$60,000 - $69,999",Mitt Romney,90,60000
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1969,"$40,000 - $49,999",Mitt Romney,47,40000
"No, not in either",NA,NA,Florida,Donald Trump,1955,"$50,000 - $59,999",Mitt Romney,61,50000
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1939,"$50,000 - $59,999",Mitt Romney,77,50000
In the Republican primary,NA,Donald Trump,North Dakota,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
"No, not in either",NA,NA,Minnesota,Donald Trump,1965,"$80,000 - $99,999",Mitt Romney,51,80000
In the Democratic primary,Bernie Sanders,NA,Wisconsin,Hillary Clinton,1961,"$100,000 - $119,999",Barack Obama,55,100000
In the Republican primary,NA,Ted Cruz,Massachusetts,Donald Trump,1952,Prefer not to say,Mitt Romney,64,NA
"No, not in either",NA,NA,Washington,Hillary Clinton,1943,"$80,000 - $99,999",Barack Obama,73,80000
In the Republican primary,NA,Someone else,New Jersey,Donald Trump,1944,"$100,000 - $119,999",Mitt Romney,72,100000
"No, not in either",NA,NA,Maryland,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1964,"$150,000 or more",Mitt Romney,52,150000
"No, not in either",NA,NA,Mississippi,Hillary Clinton,1954,"$40,000 - $49,999",NA,62,40000
In the Republican primary,NA,Donald Trump,Kentucky,Donald Trump,1964,"$150,000 or more",Mitt Romney,52,150000
In the Republican primary,NA,John Kasich,Michigan,Donald Trump,1957,"$30,000 - $39,999",Mitt Romney,59,30000
In the Republican primary,NA,Ted Cruz,South Carolina,Donald Trump,1957,"$150,000 or more",Mitt Romney,59,150000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1937,"$40,000 - $49,999",Mitt Romney,79,40000
"No, not in either",NA,NA,Massachusetts,Donald Trump,1969,"$50,000 - $59,999",Mitt Romney,47,50000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1965,"$120,000 - $149,999",Mitt Romney,51,120000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1965,Prefer not to say,Mitt Romney,51,NA
"No, not in either",NA,NA,Colorado,Donald Trump,1968,"$100,000 - $119,999",Mitt Romney,48,100000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1966,Prefer not to say,Barack Obama,50,NA
In the Democratic primary,Bernie Sanders,NA,Texas,Gary Johnson,1969,"$80,000 - $99,999",Barack Obama,47,80000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1952,"$80,000 - $99,999",Mitt Romney,64,80000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1974,"$40,000 - $49,999",Barack Obama,42,40000
"No, not in either",NA,NA,Texas,Donald Trump,1940,"$20,000 - $29,999",Mitt Romney,76,20000
In the Republican primary,NA,John Kasich,Missouri,Donald Trump,1955,"$100,000 - $119,999",Mitt Romney,61,100000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1974,"Less than $10,000",NA,42,0
"No, not in either",NA,NA,Utah,Donald Trump,1966,"$120,000 - $149,999",Mitt Romney,50,120000
In the Republican primary,NA,Marco Rubio,Nevada,Donald Trump,1958,"$120,000 - $149,999",Mitt Romney,58,120000
In the Republican primary,NA,Ted Cruz,Washington,Donald Trump,1952,Prefer not to say,Mitt Romney,64,NA
In the Republican primary,NA,Ted Cruz,Arizona,Donald Trump,1949,"$20,000 - $29,999",Mitt Romney,67,20000
In the Democratic primary,Bernie Sanders,NA,Oklahoma,Hillary Clinton,1973,"$10,000 - $19,999",Barack Obama,43,10000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1946,Prefer not to say,Mitt Romney,70,NA
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1937,"$70,000 - $79,999",Mitt Romney,79,70000
In the Republican primary,NA,Ted Cruz,Wisconsin,Donald Trump,1969,Prefer not to say,Mitt Romney,47,NA
In the Republican primary,NA,Donald Trump,California,Donald Trump,1971,"$150,000 or more",Mitt Romney,45,150000
In the Republican primary,NA,Marco Rubio,Minnesota,Donald Trump,1962,"$120,000 - $149,999",Mitt Romney,54,120000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1963,"$60,000 - $69,999",Mitt Romney,53,60000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1939,"$20,000 - $29,999",Barack Obama,77,20000
In the Democratic primary,Bernie Sanders,NA,California,Donald Trump,1961,"$120,000 - $149,999",Mitt Romney,55,120000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1964,Prefer not to say,Barack Obama,52,NA
In the Republican primary,NA,Ted Cruz,Wisconsin,Donald Trump,1968,"$40,000 - $49,999",Mitt Romney,48,40000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1959,"$100,000 - $119,999",Barack Obama,57,100000
"No, not in either",NA,NA,New York,Donald Trump,1954,"$150,000 or more",Mitt Romney,62,150000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1961,"$70,000 - $79,999",Mitt Romney,55,70000
In the Republican primary,NA,Marco Rubio,Pennsylvania,Donald Trump,1960,"$150,000 or more",Mitt Romney,56,150000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1954,"$120,000 - $149,999",Mitt Romney,62,120000
"No, not in either",NA,NA,Missouri,Hillary Clinton,1965,"$150,000 or more",Barack Obama,51,150000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1941,"$50,000 - $59,999",Mitt Romney,75,50000
"No, not in either",NA,NA,California,Gary Johnson,1955,"$80,000 - $99,999",Mitt Romney,61,80000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1965,"$100,000 - $119,999",Barack Obama,51,100000
In the Republican primary,NA,Marco Rubio,Oregon,Donald Trump,1939,"$50,000 - $59,999",Mitt Romney,77,50000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1957,"$120,000 - $149,999",Mitt Romney,59,120000
"No, not in either",NA,NA,Nevada,Donald Trump,1955,"$70,000 - $79,999",Mitt Romney,61,70000
In the Republican primary,NA,Ted Cruz,Colorado,Donald Trump,1962,"$100,000 - $119,999",Mitt Romney,54,100000
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1956,"$120,000 - $149,999",Barack Obama,60,120000
"No, not in either",NA,NA,Kentucky,Donald Trump,1953,"$50,000 - $59,999",Mitt Romney,63,50000
In the Republican primary,NA,Ted Cruz,Minnesota,Donald Trump,1973,"$50,000 - $59,999",Mitt Romney,43,50000
"No, not in either",NA,NA,Oregon,Hillary Clinton,1931,Prefer not to say,Barack Obama,85,NA
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1950,"$150,000 or more",Mitt Romney,66,150000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1957,Prefer not to say,Mitt Romney,59,NA
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1954,"$120,000 - $149,999",Barack Obama,62,120000
In the Republican primary,NA,Donald Trump,Montana,Donald Trump,1957,Prefer not to say,Mitt Romney,59,NA
In the Republican primary,NA,Donald Trump,Wisconsin,Donald Trump,1970,"$80,000 - $99,999",Mitt Romney,46,80000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1934,"$70,000 - $79,999",Barack Obama,82,70000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1937,"$30,000 - $39,999",Barack Obama,79,30000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1952,"$150,000 or more",Mitt Romney,64,150000
In the Republican primary,NA,Ted Cruz,New York,Donald Trump,1966,"$60,000 - $69,999",Mitt Romney,50,60000
In the Republican primary,NA,Ted Cruz,Indiana,Donald Trump,1973,"$70,000 - $79,999",Mitt Romney,43,70000
"No, not in either",NA,NA,New York,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1971,"$30,000 - $39,999",Mitt Romney,45,30000
"No, not in either",NA,NA,Minnesota,Hillary Clinton,1969,Prefer not to say,Barack Obama,47,NA
In the Republican primary,NA,Ted Cruz,Missouri,Donald Trump,1961,"$150,000 or more",Mitt Romney,55,150000
"No, not in either",NA,NA,Illinois,Gary Johnson,1939,"$120,000 - $149,999",Mitt Romney,77,120000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1938,"$30,000 - $39,999",Mitt Romney,78,30000
In the Republican primary,NA,John Kasich,Texas,Donald Trump,1974,"$60,000 - $69,999",NA,42,60000
In the Republican primary,NA,John Kasich,Louisiana,Donald Trump,1958,Prefer not to say,Mitt Romney,58,NA
In the Republican primary,NA,Ted Cruz,Wisconsin,Donald Trump,1962,"$150,000 or more",Mitt Romney,54,150000
"No, not in either",NA,NA,Virginia,Donald Trump,1978,"$150,000 or more",Mitt Romney,38,150000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1941,"$80,000 - $99,999",Barack Obama,75,80000
"No, not in either",NA,NA,Arizona,Gary Johnson,1962,"$80,000 - $99,999",Mitt Romney,54,80000
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1965,"$100,000 - $119,999",Mitt Romney,51,100000
"No, not in either",NA,NA,North Dakota,Donald Trump,1963,"$40,000 - $49,999",Mitt Romney,53,40000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1960,Prefer not to say,Barack Obama,56,NA
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1939,"$60,000 - $69,999",Mitt Romney,77,60000
In the Republican primary,NA,Ted Cruz,Michigan,Donald Trump,1947,"$60,000 - $69,999",Mitt Romney,69,60000
In the Democratic primary,Bernie Sanders,NA,West Virginia,Hillary Clinton,1983,"$30,000 - $39,999",Barack Obama,33,30000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1955,"$100,000 - $119,999",Mitt Romney,61,100000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1974,"$50,000 - $59,999",Barack Obama,42,50000
In the Democratic primary,Bernie Sanders,NA,New Jersey,Donald Trump,1965,"$80,000 - $99,999",Mitt Romney,51,80000
In the Republican primary,NA,John Kasich,Washington,Donald Trump,1949,Prefer not to say,Mitt Romney,67,NA
In the Republican primary,NA,Ted Cruz,Georgia,Donald Trump,1955,"$80,000 - $99,999",Mitt Romney,61,80000
"No, not in either",NA,NA,Pennsylvania,Gary Johnson,1959,"$30,000 - $39,999",Mitt Romney,57,30000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1947,"$50,000 - $59,999",Mitt Romney,69,50000
"No, not in either",NA,NA,Mississippi,Donald Trump,1969,"$120,000 - $149,999",Mitt Romney,47,120000
"No, not in either",NA,NA,California,Jill Stein,1954,"$150,000 or more",Barack Obama,62,150000
In the Republican primary,NA,Marco Rubio,Illinois,Donald Trump,1968,"$80,000 - $99,999",Mitt Romney,48,80000
In the Republican primary,NA,John Kasich,Massachusetts,Donald Trump,1956,"$150,000 or more",Mitt Romney,60,150000
In the Republican primary,NA,Ted Cruz,Washington,Donald Trump,1957,"$120,000 - $149,999",Mitt Romney,59,120000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1953,"$120,000 - $149,999",Mitt Romney,63,120000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1949,"$80,000 - $99,999",Mitt Romney,67,80000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1967,"$80,000 - $99,999",Mitt Romney,49,80000
"No, not in either",NA,NA,Florida,Hillary Clinton,1950,"$20,000 - $29,999",Barack Obama,66,20000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1963,"Less than $10,000",Barack Obama,53,0
In the Democratic primary,Hillary Clinton,NA,North Carolina,Hillary Clinton,1971,"$50,000 - $59,999",Barack Obama,45,50000
"No, not in either",NA,NA,Missouri,Donald Trump,1942,"$40,000 - $49,999",Mitt Romney,74,40000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Hillary Clinton,1976,"$70,000 - $79,999",Barack Obama,40,70000
In the Republican primary,NA,Ted Cruz,Missouri,Donald Trump,1963,"$80,000 - $99,999",Mitt Romney,53,80000
"No, not in either",NA,NA,Michigan,Donald Trump,1964,"$10,000 - $19,999",Mitt Romney,52,10000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1955,"$80,000 - $99,999",Barack Obama,61,80000
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1945,"$40,000 - $49,999",Mitt Romney,71,40000
"No, not in either",NA,NA,Tennessee,Donald Trump,1932,"$60,000 - $69,999",Mitt Romney,84,60000
In the Democratic primary,Bernie Sanders,NA,Colorado,Hillary Clinton,1971,Prefer not to say,Barack Obama,45,NA
In the Republican primary,NA,Ted Cruz,Mississippi,Other,1953,"$60,000 - $69,999",Mitt Romney,63,60000
In the Republican primary,NA,John Kasich,Illinois,Hillary Clinton,1955,"$100,000 - $119,999",Barack Obama,61,100000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1954,"$120,000 - $149,999",Mitt Romney,62,120000
In the Republican primary,NA,John Kasich,Florida,Hillary Clinton,1968,"$10,000 - $19,999",Barack Obama,48,10000
In the Republican primary,NA,John Kasich,New York,Donald Trump,1956,"$150,000 or more",Mitt Romney,60,150000
In the Republican primary,NA,Donald Trump,Ohio,Donald Trump,1971,"$100,000 - $119,999",Mitt Romney,45,100000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1967,"$100,000 - $119,999",Mitt Romney,49,100000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1969,Prefer not to say,NA,47,NA
In the Republican primary,NA,John Kasich,Maryland,Other,1986,"$40,000 - $49,999",Mitt Romney,30,40000
In the Democratic primary,Bernie Sanders,NA,Georgia,Donald Trump,1964,"$100,000 - $119,999",Mitt Romney,52,100000
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1974,"$80,000 - $99,999",Mitt Romney,42,80000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1973,"$60,000 - $69,999",Barack Obama,43,60000
"No, not in either",NA,NA,Oregon,Hillary Clinton,1946,"$30,000 - $39,999",Barack Obama,70,30000
"No, not in either",NA,NA,North Carolina,Donald Trump,1959,"$150,000 or more",Mitt Romney,57,150000
In the Republican primary,NA,Ted Cruz,Tennessee,Other,1958,"$80,000 - $99,999",NA,58,80000
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Hillary Clinton,1946,"$120,000 - $149,999",Barack Obama,70,120000
"No, not in either",NA,NA,Montana,Hillary Clinton,1961,"$20,000 - $29,999",Barack Obama,55,20000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1954,"$100,000 - $119,999",Mitt Romney,62,100000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1960,"$80,000 - $99,999",Mitt Romney,56,80000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1959,Prefer not to say,Mitt Romney,57,NA
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1944,"$40,000 - $49,999",Mitt Romney,72,40000
In the Republican primary,NA,Marco Rubio,Idaho,Evan McMullin,1966,"$70,000 - $79,999",Mitt Romney,50,70000
"No, not in either",NA,NA,Missouri,Other,1963,"$40,000 - $49,999",Mitt Romney,53,40000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1964,"$120,000 - $149,999",Mitt Romney,52,120000
In the Democratic primary,Bernie Sanders,NA,Illinois,Jill Stein,1966,"$80,000 - $99,999",Barack Obama,50,80000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1955,"$70,000 - $79,999",Barack Obama,61,70000
In the Republican primary,NA,Marco Rubio,California,Donald Trump,1943,"$60,000 - $69,999",Mitt Romney,73,60000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1942,Prefer not to say,Mitt Romney,74,NA
In the Republican primary,NA,Donald Trump,California,Donald Trump,1973,"$40,000 - $49,999",Mitt Romney,43,40000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1965,"$10,000 - $19,999",Barack Obama,51,10000
"No, not in either",NA,NA,New York,Donald Trump,1960,"$50,000 - $59,999",Mitt Romney,56,50000
"No, not in either",NA,NA,North Carolina,Donald Trump,1965,Prefer not to say,Mitt Romney,51,NA
In the Republican primary,NA,John Kasich,Utah,Evan McMullin,1955,"$150,000 or more",Mitt Romney,61,150000
In the Republican primary,NA,Ted Cruz,Virginia,Gary Johnson,1965,"$30,000 - $39,999",Mitt Romney,51,30000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1945,"$100,000 - $119,999",Mitt Romney,71,100000
"No, not in either",NA,NA,Colorado,Donald Trump,1945,"$100,000 - $119,999",Mitt Romney,71,100000
In the Republican primary,NA,Ted Cruz,Wisconsin,Other,1969,"$50,000 - $59,999",Mitt Romney,47,50000
"No, not in either",NA,NA,California,NA,1974,"$80,000 - $99,999",Mitt Romney,42,80000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1949,"$10,000 - $19,999",Mitt Romney,67,10000
In the Republican primary,NA,Ted Cruz,Kentucky,Donald Trump,1950,"$70,000 - $79,999",Mitt Romney,66,70000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1974,"$150,000 or more",Barack Obama,42,150000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1953,"$70,000 - $79,999",Mitt Romney,63,70000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1981,"$100,000 - $119,999",Barack Obama,35,100000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1955,"$40,000 - $49,999",Mitt Romney,61,40000
In the Republican primary,NA,John Kasich,Michigan,Hillary Clinton,1973,"$80,000 - $99,999",Barack Obama,43,80000
In the Republican primary,NA,Donald Trump,New Mexico,Donald Trump,1951,"$120,000 - $149,999",Mitt Romney,65,120000
"No, not in either",NA,NA,California,Donald Trump,1951,"$40,000 - $49,999",Mitt Romney,65,40000
"No, not in either",NA,NA,New York,Hillary Clinton,1968,"$100,000 - $119,999",Barack Obama,48,100000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1958,"$100,000 - $119,999",Barack Obama,58,100000
In the Democratic primary,Hillary Clinton,NA,Tennessee,Hillary Clinton,1967,"$120,000 - $149,999",Barack Obama,49,120000
In the Democratic primary,Bernie Sanders,NA,New York,Donald Trump,1952,"$30,000 - $39,999",Mitt Romney,64,30000
In the Republican primary,NA,Donald Trump,Wisconsin,Donald Trump,1959,"$50,000 - $59,999",Mitt Romney,57,50000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1957,"$20,000 - $29,999",Mitt Romney,59,20000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1952,Prefer not to say,Mitt Romney,64,NA
"No, not in either",NA,NA,Nebraska,Donald Trump,1954,"$70,000 - $79,999",Mitt Romney,62,70000
In the Republican primary,NA,Marco Rubio,Texas,Donald Trump,1930,"$150,000 or more",Mitt Romney,86,150000
In the Republican primary,NA,Donald Trump,Massachusetts,Donald Trump,1958,"$150,000 or more",Mitt Romney,58,150000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1953,"$120,000 - $149,999",Mitt Romney,63,120000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1957,"$60,000 - $69,999",Mitt Romney,59,60000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1956,"$70,000 - $79,999",Other candidate,60,70000
In the Republican primary,NA,Ted Cruz,Nebraska,Donald Trump,1946,"$100,000 - $119,999",Mitt Romney,70,100000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1972,"$100,000 - $119,999",Barack Obama,44,100000
In the Democratic primary,Bernie Sanders,NA,Indiana,Other,1974,"$60,000 - $69,999",Barack Obama,42,60000
