primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
In the Republican primary,NA,Ted Cruz,Minnesota,Donald Trump,1971,"$80,000 - $99,999",Mitt Romney,45,80000
In the Republican primary,NA,John Kasich,Ohio,Donald Trump,1970,"$70,000 - $79,999",Mitt Romney,46,70000
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1959,"$150,000 or more",Barack Obama,57,150000
In the Republican primary,NA,Marco Rubio,Missouri,Donald Trump,1955,"$150,000 or more",Mitt Romney,61,150000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1970,"$150,000 or more",Barack Obama,46,150000
In the Republican primary,NA,John Kasich,Massachusetts,Donald Trump,1962,"$100,000 - $119,999",Mitt Romney,54,100000
In the Democratic primary,Bernie Sanders,NA,Tennessee,Hillary Clinton,1968,"$40,000 - $49,999",Barack Obama,48,40000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1956,"$150,000 or more",Barack Obama,60,150000
"No, not in either",NA,NA,Wisconsin,Hillary Clinton,1987,"$80,000 - $99,999",Barack Obama,29,80000
In the Republican primary,NA,Marco Rubio,Texas,Donald Trump,1945,"$150,000 or more",Mitt Romney,71,150000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1965,"$120,000 - $149,999",Barack Obama,51,120000
"No, not in either",NA,NA,New York,Donald Trump,1955,"$150,000 or more",Mitt Romney,61,150000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1949,"$40,000 - $49,999",Barack Obama,67,40000
In the Republican primary,NA,Ted Cruz,Wisconsin,Donald Trump,1965,"$100,000 - $119,999",Mitt Romney,51,100000
"No, not in either",NA,NA,Oregon,Gary Johnson,1957,"$60,000 - $69,999",Mitt Romney,59,60000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1955,Prefer not to say,Mitt Romney,61,NA
"No, not in either",NA,NA,Washington,Donald Trump,1951,"$100,000 - $119,999",Mitt Romney,65,100000
"No, not in either",NA,NA,Arizona,Hillary Clinton,1940,"$10,000 - $19,999",Barack Obama,76,10000
"No, not in either",NA,NA,Kansas,Hillary Clinton,1981,"$20,000 - $29,999",Barack Obama,35,20000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1981,"$80,000 - $99,999",Mitt Romney,35,80000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1944,Prefer not to say,Barack Obama,72,NA
In the Democratic primary,Someone else,NA,Florida,Donald Trump,1961,Prefer not to say,Mitt Romney,55,NA
"No, not in either",NA,NA,Illinois,Hillary Clinton,1954,"$20,000 - $29,999",Barack Obama,62,20000
"No, not in either",NA,NA,Oklahoma,Gary Johnson,1966,"$40,000 - $49,999",Mitt Romney,50,40000
"No, not in either",NA,NA,Florida,Donald Trump,1962,"$80,000 - $99,999",Mitt Romney,54,80000
In the Democratic primary,Bernie Sanders,NA,Indiana,Hillary Clinton,1962,"$80,000 - $99,999",Barack Obama,54,80000
"No, not in either",NA,NA,Kansas,Donald Trump,1982,"$100,000 - $119,999",Mitt Romney,34,100000
In the Republican primary,NA,Marco Rubio,Georgia,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
In the Democratic primary,Bernie Sanders,NA,Florida,Gary Johnson,1955,"$80,000 - $99,999",Barack Obama,61,80000
In the Republican primary,NA,Marco Rubio,Wisconsin,Donald Trump,1979,"$30,000 - $39,999",Mitt Romney,37,30000
In the Republican primary,NA,Ted Cruz,Illinois,Donald Trump,1952,"$100,000 - $119,999",Mitt Romney,64,100000
"No, not in either",NA,NA,Colorado,Hillary Clinton,1965,"$120,000 - $149,999",Barack Obama,51,120000
"No, not in either",NA,NA,Florida,Donald Trump,1967,Prefer not to say,Mitt Romney,49,NA
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1976,"$80,000 - $99,999",Barack Obama,40,80000
In the Democratic primary,Bernie Sanders,NA,New Mexico,Hillary Clinton,1958,"$120,000 - $149,999",Barack Obama,58,120000
In the Republican primary,NA,John Kasich,Georgia,Hillary Clinton,1947,"$150,000 or more",Barack Obama,69,150000
In the Republican primary,NA,Ted Cruz,Kentucky,Donald Trump,1956,Prefer not to say,Mitt Romney,60,NA
In the Democratic primary,Bernie Sanders,NA,North Carolina,Hillary Clinton,1990,"$80,000 - $99,999",Barack Obama,26,80000
In the Democratic primary,Hillary Clinton,NA,Utah,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
"No, not in either",NA,NA,Minnesota,Donald Trump,1966,"$40,000 - $49,999",Mitt Romney,50,40000
In the Republican primary,NA,Ted Cruz,Ohio,Other,1978,"$80,000 - $99,999",Other candidate,38,80000
In the Republican primary,NA,Ted Cruz,Idaho,Donald Trump,1964,"$30,000 - $39,999",Mitt Romney,52,30000
In the Democratic primary,Hillary Clinton,NA,New Jersey,Hillary Clinton,1977,"$150,000 or more",Barack Obama,39,150000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1970,"$80,000 - $99,999",Barack Obama,46,80000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1969,"$150,000 or more",Barack Obama,47,150000
In the Republican primary,NA,Donald Trump,North Carolina,Donald Trump,1971,"$70,000 - $79,999",Mitt Romney,45,70000
In the Democratic primary,Bernie Sanders,NA,Texas,Gary Johnson,1965,"$70,000 - $79,999",Barack Obama,51,70000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1938,"$150,000 or more",Mitt Romney,78,150000
